"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"LBRDK","Liberty Broadband Corporation","49.66","4258911421.96","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbrdk",
"LBRKR","Liberty Broadband Corporation","9.28","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lbrkr",
"LBTYA","Liberty Global plc","50.53","39441083567.92","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbtya",
"LBTYB","Liberty Global plc","49.101","38325680670.264","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbtyb",
"LBTYK","Liberty Global plc","48.53","37879987839.92","n/a","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbtyk",
"LVNTA","Liberty Interactive Corporation","36.65","4924402520.65","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/lvnta",
"LVNTB","Liberty Interactive Corporation","36.98","19625978524.46","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/lvntb",
"QVCA","Liberty Interactive Corporation","28.52","13574992636.68","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/qvca",
"QVCB","Liberty Interactive Corporation","28.76","13689228198.84","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/qvcb",
"LMCA","Liberty Media Corporation","34.38","11793898342.26","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/lmca",
"LMCB","Liberty Media Corporation","34.76","11924255566.52","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/lmcb",
"LMCK","Liberty Media Corporation","33.99","11660110664.73","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/lmck",
"LMAC","Liberty Mutual Agency Corporation","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lmac",
"LPT","Liberty Property Trust","37.59","5583843989.64","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/lpt",
"TAX","Liberty Tax, Inc.","35.81","454183207.59","n/a","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/tax",
"LTRPA","Liberty TripAdvisor Holdings, Inc.","26.63","1962228966.89","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ltrpa",
"LTRPB","Liberty TripAdvisor Holdings, Inc.","26.6631","1964667937.1793","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ltrpb",
"LPHI","Life Partners Holdings Inc","0.73","13612651.64","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/lphi",
"LTM","Life Time Fitness","55.4","2167401347.2","n/a","2004","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/ltm",
"LOCK","LifeLock, Inc.","17.51","1638849255.46","n/a","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/lock",
"LPNT","LifePoint Hospitals, Inc.","71.85","3252837747","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/lpnt",
"LCUT","Lifetime Brands, Inc.","16.01","219078262.39","n/a","1991","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lcut",
"LFVN","Lifevantage Corporation","1.35","134036808.75","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lfvn",
"LWAY","Lifeway Foods, Inc.","18.07","295372527.19","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/lway",
"LGND","Ligand Pharmaceuticals Incorporated","52.32","1027866948","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lgnd",
"LTBR","Lightbridge Corporation","1.8","32549173.2","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ltbr",
"LITB","LightInTheBox Holding Co., Ltd.","6.35","323154020.95","n/a","2013","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/litb",
"LPTH","LightPath Technologies, Inc.","1.09","15583910.94","n/a","1996","Technology","Semiconductors","http://www.nasdaq.com/symbol/lpth",
"LLEX","Lilis Energy, Inc.","0.9","24908460.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/llex",
"LIME","Lime Energy Co.","2.26","8522464.52","n/a","n/a","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/lime",
"LLNW","Limelight Networks, Inc.","2.84","280265746.48","n/a","2007","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/llnw",
"LMNR","Limoneira Co","24.89","350403336.53","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/lmnr",
"LIN","LIN Media LLC","25","1433378750","n/a","2013","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/lin",
"LINC","Lincoln Educational Services Corporation","2.78","66865911.08","n/a","2005","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/linc",
"LECO","Lincoln Electric Holdings, Inc.","69.02","5361476567.86","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/leco",
"LNC/WS","Lincoln National Corporation","49.2601","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lnc/ws",
"LNC","Lincoln National Corporation","58.42","15176915851.34","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/lnc",
"LNN","Lindsay Corporation","84.17","1026946133.69","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lnn",
"LLTC","Linear Technology Corporation","45.95","10960530190.55","n/a","1986","Technology","Semiconductors","http://www.nasdaq.com/symbol/lltc",
"LNKD","LinkedIn Corporation","234.61","29133092771.68","n/a","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/lnkd",
"LNCO","Linn Co, LLC","11.92","1532246554.08","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lnco",
"LINE","Linn Energy, LLC","12.24","4025816771.76","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/line",
"LIOX","Lionbridge Technologies, Inc.","5.81","370579311.34","n/a","1999","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/liox",
"LGF","Lions Gate Entertainment Corporation","31.27","4372844955.8","n/a","n/a","Consumer Services","Movies/Entertainment","http://www.nasdaq.com/symbol/lgf",
"LPCN","Lipocine Inc.","5.125","65531694","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lpcn",
"LIQT","LiqTech International, Inc.","1.08","42449164.56","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/liqt",
"LIQD","Liquid Holdings Group, Inc.","0.7634","46057735.075","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/liqd",
"LQDT","Liquidity Services, Inc.","8.33","249282838.63","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/lqdt",
"LAD","Lithia Motors, Inc.","86.94","2282258897.1","n/a","n/a","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/lad",
"LFUS","Littelfuse, Inc.","96.77","2176302334.64","n/a","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/lfus",
"LYV","Live Nation Entertainment, Inc.","26.29","5275325215.16","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/lyv",
"LIVE","LiveDeal, Inc.","2.68","38528864.56","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/live",
"LPSN","LivePerson, Inc.","14.11","771158585.07","n/a","2000","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/lpsn",
